school_id,nces_unitid,school_name,school_website,cycling_website,research_status,evidence_url,evidence_date,evidence_snippet,discipline_evidence_text,road,mtb_xc,mtb_st,mtb_enduro,mtb_downhill,mtb_slalom,cyclocross,track,cycling_program_status,head_coach,contact_email,researcher,notes
153,166027,Harvard University,,,complete,https://www.harvardcycling.club/race,unknown,Focus primarily on road; opportunities in collegiate mountain biking and cyclocross.,"Harvard cycling page explicitly names road, mountain biking, and cyclocross.",true,true,,,,,true,,active,,harvarducycling@gmail.com,chatgpt-deep,mtb subtype unspecified
154,213020,IIndiana University of Pennsylvania,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,christopherpeltzer37@gmail.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
155,213251,Juniata College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,matter@juniata.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
156,213385,Lafayette College,,,complete,https://sites.lafayette.edu/outdoors/get-lost/cycling/,unknown,Racing team competes in road and mountain biking seasons within ECCC.,Official Lafayette Outdoors page explicitly states road and mountain-bike competition.,true,true,,,,,,,active,,,chatgpt-deep,mtb subtype unspecified
157,213543,Lehigh University,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,bat0@lehigh.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
158,230940,Marlboro College (Closed in 2020),,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,inactive,,katrick@marlboro.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; school closed
159,213826,Marywood University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,jspossinger@m.marywood.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
160,167288,Massachusetts College of Liberal Arts,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,peter.hoyt@mcla.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
161,166683,Massachusetts Institute of Technology,,,complete,https://cycling.mit.edu/calendar/,unknown,"Ride codes include RD (road), MTB (mountain bike), and CX (cyclocross).","Official MIT cycling calendar references active ride/race categories for road, MTB, and CX.",true,true,,,,,true,,active,,,chatgpt-deep,mtb subtype unspecified
162,230959,Middlebury College,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,cycling@middlebury.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
163,193900,New York University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,enhancesports@aol.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
164,207263,Northeastern University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,true,true,,true,true,,,active,,n.avery@northeastern.edu,chatgpt-deep,historical source only; ECCC conference source referenced
165,214591,Penn State Behrend,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
167,214777,Penn State Main Campus,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,nlr5191@psu.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
166,214670,Penn State-Lehigh Valley,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,mqm5336@psu.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
168,183080,Plymouth State University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,jfritz@plymouth.edu,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced
169,186131,Princeton University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",true,,,,,,,,active,,Cycling@princeton.edu,chatgpt-deep,prefer official Princeton rec/club source for confirmation; ECCC conference source referenced
170,194824,Rensselaer Polytechnic Institute,,,complete,https://cycling.union.rpi.edu/,unknown,Site highlights mountain bike racing and road & cyclocross racing.,"Official RPI cycling page explicitly names mountain bike, road, and cyclocross racing.",true,true,,,,,true,,active,,allars@rpi.edu,chatgpt-deep,mtb subtype unspecified
171,217493,Rhode Island School of Design,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,kalmeida@risd.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
172,195003,Rochester Institute of Technology PROD,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,jxo7961@rit.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
173,186380,Rutgers University-New Brunswick,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,kpettis@rci.rutgers.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
174,195216,Saint Lawrence University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,lieslmagnus@gmail.com,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced
175,231059,Saint Michaels College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,drobb257@gmail.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
176,216010,Shippensburg University of Pennsylvania,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,nathan.goates@gmail.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced; listed on ECCC clubs page
177,167835,Smith College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,bmay@smith.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
178,196291,Suny Maritime College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,kschwatz@sunymaritime.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
179,216287,Swarthmore College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,thuntin1@swarthmore.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
180,196413,Syracuse University,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,apetrie@syr.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
181,228608,Temple University,,,complete,https://www.temple.edu/cycling-club,unknown,"Temple cycling club participates in road, mountain and track cycling.","Official Temple page explicitly lists road, mountain, and track disciplines.",true,true,,,,,,true,active,,pete.vincent@temple.edu,chatgpt-deep,mtb subtype unspecified
182,168148,Tufts University,,,complete,https://tuftscyclingteam.wixsite.com/tuftscycling,unknown,Tufts team describes itself as a group of road and mountain bikers.,Tufts cycling page explicitly references road and mountain disciplines.,true,true,,,,,,,active,,ClubSports@tufts.edu,chatgpt-deep,mtb subtype unspecified
183,196866,Union College-NY,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,cliftonf@union.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
184,130624,United States Coast Guard Academy,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,robert.e.stiles@uscga.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
185,129020,University of Connecticut,,,complete,https://giving.uconn.edu/schools/UniversityofConnecticut/ignite-2025/pages/ignite-club-sports/cycling,2025-10-26,"Club cycling team encompasses mountain, road and cyclocross.","Official UConn giving campaign for club cycling explicitly names road, mountain, cyclocross.",true,true,,,,,true,,active,,contact@uconncycling.com,chatgpt-deep,mtb subtype unspecified
186,130943,University of Delaware,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,glennf@udel.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
187,161253,University of Maine-Orono,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,dale.russell@maine.edu,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced; listed on ECCC clubs page
188,369002,University of Massachusetts Amherst,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,cycling@umass.edu,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced
189,183044,University of New Hampshire,,,needs-review,https://www.eccc-cycling.com/about/clubs,unknown,School appears on ECCC list of collegiate clubs.,Conference club listing supports active program status; discipline-specific support still requires team-level source.,,,,,,,,,unknown,,aaron.croce@unh.edu,chatgpt-deep,verify exact discipline mapping from omnium columns; ECCC conference source referenced; listed on ECCC clubs page
190,215062,University of Pennsylvania,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,cycling.upenn@gmail.com,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
191,155681,University of Pittsburgh,,,complete,https://sites.pitt.edu/~sorc/cycling/rides.html,unknown,Regular 25+ mile road rides and mountain bike trips including cyclocross bike use.,Official Pitt club page indicates road and mountain/cyclocross activity.,true,true,,,,,true,,active,,hje2@pitt.edu,chatgpt-deep,based on team ride descriptions
192,217484,University of Rhode Island,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,soc@rhodysenate.org,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
193,195030,University of Rochester,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,kyle.demanincor@rochester.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
194,231174,University of Vermont,,,complete,https://sites.google.com/view/uvm-cycling/home,unknown,"We race mountain, cyclocross, and road ... conference and Collegiate Nationals.","Official UVM cycling team page explicitly confirms road, mountain, cyclocross racing.",true,true,,,,,true,,active,,cycling@uvm.edu,chatgpt-deep,mtb subtype unspecified
195,197036,US Military Academy,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,richard.gash@westpoint.edu,chatgpt-deep,map school alias US Military Academy <-> Army West Point; ECCC conference source referenced
196,231165,Vermont Technical College,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,caitlynclark@vtc.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
197,168342,Williams College,,,complete,https://sites.williams.edu/cycling/race-schedule/,2026-01-03,Typically race only in Road Racing Season; may also compete in Cyclocross in the fall.,Williams team race schedule explicitly confirms road season and possible cyclocross participation.,true,,,,,,true,,active,,glw4@williams.edu,chatgpt-deep,cyclocross language is conditional
198,168421,Worcester Polytechnic Institute,,,needs-review,https://www.eccc-cycling.com/racers/racers-guide,unknown,"ECCC states conference races four separate seasons: Mountain, Cyclocross, Virtual, and Road.","Conference-level evidence confirms ECCC disciplines (road, MTB, cyclocross). Team-level discipline participation for this school still requires explicit school/team source.",,,,,,,,,unknown,,cyclingofficers@wpi.edu,chatgpt-deep,needs targeted follow-up source; ECCC conference source referenced
199,130794,Yale University,,,complete,https://www.yalecycling.org/loaner-bikes,unknown,"Loaner inventory includes road, mountain, and cyclocross bikes.",Yale cycling page indicates active road/mountain/cyclocross usage for training/racing.,true,true,,,,,true,,active,,yalecyclingteam@gmail.com,chatgpt-deep,mtb subtype unspecified
